SITE_ID,SITE_NUM,SITE_NAME,ACTIVE,INACTIVE,AGENCY,STATE,COUNTY,TIME_ZONE,LATITUDE,LONGITUDE,ELEVATION,MAPID,LAND_USE,TERRAIN,MLM,NADP_ID,NADP_DISTANCE,UPDATE_DATE
QAK172,172,Quaker City,dom,,EPA,OH,Noble,EA,39.942714,-81.337914,371.0,,Agric,Rolling,Mixed,OH49,23.458,2020-01-30 13:25:29
QAK272,272,Quaker City Collocated,,a,EPA,OH,Noble,EA,39.942714,-81.337914,371.0,,Agric,Rolling,,OH49,23.458,2020-01-30 13:25:29
QAK572,572,Quaker City Aerosol,,ain,EPA,OH,Noble,EA,39.942714,-81.337914,371.0,,Agric,Rolling,,OH49,23.458,2020-01-30 13:25:29
RCK163,163,Reynolds Creek,,dom,EPA,ID,Owyhee,MO,43.21,-116.75,1198.0,"Silver City, ID",Range,Rolling,Mixed,ID11,0.567,2020-01-30 13:25:29
RCK263,263,Reynolds Creek Collocated,,dom,EPA,ID,Owyhee,MO,43.21,-116.75,1198.0,,Range,Rolling,Mixed,ID11,0.567,2020-01-30 13:25:29
RED004,4,"Red Lake Band of Chippewa Indians, Minnesota",dm,,EPA,MN,Beltrami,CE,47.8638,-94.8352,372.0,,Forest,Flat,Yes,MN16,109.042,2020-01-30 13:25:29
ROM206,206,Rocky Mtn NP Collocated,domt,,EPA,CO,Larimer,MO,40.278129,-105.545635,2742.0,,Forest,Complex,No,CO19,9.987,2020-01-30 13:25:29
ROM406,406,Rocky Mtn NP,dom,,NPS,CO,Larimer,MO,40.278129,-105.545635,2743.0,,Forest,Complex,No,CO19,9.987,2020-01-30 13:25:29
RTP101,101,Res. Triangle Pk.,,domr,EPA,NC,Durham,EA,35.91,-78.88,91.0,,Urban,Rolling,No,NC41,27.023,2020-01-30 13:25:29
SAL133,133,Salamonie Reservoir,dom,,EPA,IN,Wabash,EAno,40.816038,-85.661407,250.0,"Lagro, IN",Agric,Flat,Yes,IN20,16.873,2020-01-30 13:25:29
SAN189,189,"Santee Sioux Nation, Nebraska",dom,,EPA,NE,Knox,CE,42.829154,-97.854128,434.0,,Range,Rolling,Yes,SD99,173.171,2020-01-30 13:25:29
SAN192,192,Santee Sioux - Environmental Office,dom,,EPA,NE,Knox,CE,42.7475,-97.9282,434.0,,Range,Rolling,Yes,SD99,173.8717,2024-06-05 00:00:00
SAV164,164,Saval Ranch,,dom,EPA,NV,Elko,PA,41.29,-115.86,1873.0,"Mahala Creek East, NV",Forest,Rolling,Mixed,ID11,225.024,2020-01-30 13:25:29
SCR180,180,Scotia Range,,dmw,EPA,PA,Centre,EA,40.7884,-77.9464,376.0,"Pine Grove Mills, PA",Forest,Rolling,,PA15,0.052,2020-01-30 13:25:29
SEK402,402,Sequoia NP - Lookout Pt,,dom,NPS,CA,Tulare,PA,36.4292,-118.7625,1225.0,,Forest,Mountaintop,No,CA75,15.255,2020-01-30 13:25:29
SEK430,430,Sequoia NP - Ash Mountain,dom,,NPS,CA,Tulare,PA,36.489469,-118.829153,510.0,,Forest,Mountaintop,No,CA75,9.659,2020-01-30 13:25:29
SHE604,604,Sheridan,dm,,BLM,WY,Sheridan,MO,44.93,-106.85,1115.0,,Prairie,Rolling,Mixed,MT00,84.802,2020-01-30 13:25:29
SHN418,418,Shenandoah NP - Big Meadows,dom,,NPS,VA,Madison,EA,38.5231,-78.43471,1073.0,"Big Meadows, VA",Forest,Mountaintop,Mixed,VA28,0.008,2020-01-30 13:25:29
SHN518,518,Shenandoah NP - Big Meadows Aerosol,,a,EPA,VA,Madison,EA,38.5231,-78.43471,1068.0,"Big Meadows, VA",Forest,Mountaintop,,VA28,0.008,2020-01-30 13:25:29
SIK270,270,Sikes Collocated,,a,EPA,LA,Winn,CE,32.0575,-92.4353,68.0,,Agric,Flat,,AR02,174.515,2020-01-30 13:25:29
SIK570,570,Sikes Aerosol,,ain,EPA,LA,Winn,CE,32.0575,-92.4353,68.0,"Sikes, LA",Agric,Flat,,AR02,174.515,2020-01-30 13:25:29
SND152,152,Sand Mountain,dom,,EPA,AL,DeKalb,CE,34.289001,-85.970065,349.0,"Crossville, AL",Agric,Rolling,Yes,AL99,0.047,2020-01-30 13:25:29
SPD111,111,Speedwell,domp,w,EPA,TN,Claiborne,EA,36.46983,-83.826511,361.0,"Ausmus, TN",Agric,Rolling,Mixed,TN04,0.062,2020-01-30 13:25:29
STK138,138,Stockton,dom,,EPA,IL,Jo Daviess,CE,42.287216,-89.99995,281.0,"Stockton, IL",Agric,Rolling,Mixed,WI06,95.97,2020-01-30 13:25:29
SUM156,156,Sumatra,domp,w,EPA,FL,Liberty,EA,30.110226,-84.99038,16.0,"Sumatra, FL",Forest,Flat,Yes,FL23,0.045,2020-01-30 13:25:29
SUM256,256,Sumatra Collocated,,dom,EPA,FL,Liberty,EA,30.110226,-84.99038,16.0,,Forest,Flat,Yes,FL23,0.045,2020-01-30 13:25:29
THR422,422,Theodore Roosevelt NP,dom,,NPS,ND,Billings,MO,46.894844,-103.377719,850.0,,Forest,Rolling,Mixed,ND00,0.036,2020-01-30 13:25:29
UIN162,162,Uinta,,domw,EPA,UT,Duchesne,MO,40.55,-110.32,2500.0,"Burnt Mill Spring, UT",Range,Complex,No,UT95,75.618,2020-01-30 13:25:29
UMA009,9,Confederated Tribes of the Umatilla Indian Reservation,dom,,EPA,WA,Columbia,PA,46.2026,-117.9539,681.0,,Forest,Rolling,No,WA24,85.0,2020-12-04 13:56:23
UND002,2,Underhill,dm,,EPA,VT,Chittenden,EA,44.5283,-72.8688,399.0,,Forest,Complex,No,VT99,0.032,2020-01-30 13:25:29
UVL124,124,Unionville,domp,w,EPA,MI,Tuscola,EA,43.613572,-83.359869,202.0,"Ellington, MI",Agric,Flat,Yes,MI51,0.008,2020-01-30 13:25:29
VII423,423,Virgin Islands NP - Lind Pt,,dom,NPS,VI,St. John,AT,18.3364,-64.7964,80.0,,Forest,Complex,No,VI01,0.031,2020-01-30 13:25:29
VIN140,140,Vincennes,dom,,EPA,IN,Knox,EAno,38.740792,-87.484923,136.0,"Fritchton, IN",Agric,Rolling,Mixed,IN22,0.05,2020-01-30 13:25:29
VOY413,413,Voyageurs NP,dom,,NPS,MN,St. Louis,CE,48.412518,-92.829225,429.0,,Forest,Rolling,Mixed,MN32,0.121,2020-01-30 13:25:29
VPI120,120,Blue Grass Trail,domp,,EPA,VA,Giles,EA,37.3232,-80.4572,652.0,,Agric,Mountaintop,No,VA13,0.1924,2020-09-02 00:00:00
WEL149,149,Wellston,,dom,EPA,MI,Wexford,EA,44.2249,-85.8198,295.0,"Wellston, MI",Forest,Flat,Yes,MI53,0.123,2020-01-30 13:25:29
WFM007,7,Whiteface Mountain Summit,,dm,EPA,NY,Essex,EA,44.39,-73.86,1415.0,"Wilmington, NY",Forest,Complex,No,NY98,0.37,2020-01-30 13:25:29
